cartodb_id,the_geom,id,id_1,highway,height,lamp_count,lamp_height,lamp_light,lamp_lit,lamp_shape,lamp_tilt,lit,light_colour,light_count,light_lit,light_method,light_shape,light_tilt,support,_natural,amenity
48,0101000020E610000030551FFE50CF0DC004148F30B1394440,node/3456445092,node/3456445092,street_lamp,,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
49,0101000020E6100000AE76B92D36D20DC0F1EA1C03B2394440,node/3456445693,node/3456445693,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
50,0101000020E6100000E9BF18DBB5CE0DC087D80528B2394440,node/3456445694,node/3456445694,street_lamp,,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
51,0101000020E6100000F1E6BA3A11CE0DC00FD07D39B3394440,node/3456445695,node/3456445695,street_lamp,,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
52,0101000020E61000004D20DBE852D20DC0950B3AC6BA394440,node/3456445696,node/3456445696,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
53,0101000020E6100000E18F47156AD20DC0077AA86DC3394440,node/3456445697,node/3456445697,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
54,0101000020E610000075DFD68283D20DC00EA8ED15CC394440,node/3456445698,node/3456445698,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
55,0101000020E6100000D8E610829FD20DC0B7CDF9CED4394440,node/3456445699,node/3456445699,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
56,0101000020E6100000F5F1D077B7D20DC0C38A64D9DD394440,node/3456445700,node/3456445700,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
57,0101000020E6100000E2B43BFFD1D20DC0B41AB73DE6394440,node/3456445701,node/3456445701,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
58,0101000020E6100000B2A6B228ECD20DC0BBECD79DEE394440,node/3456445702,node/3456445702,street_lamp,13,1,12,high_pressure_sodium,sunset-sunrise,directed,-90,yes,,,,,,,,,
60,0101000020E6100000AE343A3135D30DC029B8B30AF6394440,node/3456445704,node/3456445704,street_lamp,,,,,,,,,,,,,,,,,
61,0101000020E6100000A5EF3504C7D50DC0F2E670ADF6394440,node/3456445705,node/3456445705,street_lamp,,,,,,,,,,,,,,,,,
62,0101000020E6100000B46A2112CFD30DC032F26899FB394440,node/3456445706,node/3456445706,street_lamp,,,,,,,,,,,,,,,,,
63,0101000020E61000001121095630D50DC0E4260FB0FB394440,node/3456445707,node/3456445707,street_lamp,,,,,,,,,,,,,,,,,
64,0101000020E61000002185573783D40DC05BF51494FD394440,node/3456445708,node/3456445708,street_lamp,,,,,,,,,,,,,,,,,
65,0101000020E6100000F4262B2BF2D00DC02EF4D25E8E394440,node/3456447231,node/3456447231,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
122,0101000020E61000007E75FAE6A3E10DC0167B794B83394440,node/3456452106,node/3456452106,street_lamp,,,,,,,,,,,,,,,,,
